Genes	HepG2_MAX
ENSG00000254398	0.99783
ENSG00000275490	0
ENSG00000165458	54.6344
ENSG00000233186	0.047144
ENSG00000278645	3.0162
ENSG00000271679	0
ENSG00000234404	0
ENSG00000227611	0
ENSG00000243674	0
ENSG00000205181	2.0081
ENSG00000152578	0.44482
ENSG00000269469	0.62811
ENSG00000274325	0
ENSG00000151651	0.47702
ENSG00000145287	47.5038
ENSG00000251779	5.3399
ENSG00000163468	537.7444
ENSG00000235716	0
ENSG00000258745	0.60822
ENSG00000242509	2.8468
ENSG00000272871	0.92079
ENSG00000248257	0
ENSG00000174358	0.083885
ENSG00000223774	0.42449
ENSG00000233213	0
ENSG00000200179	0
ENSG00000254425	0.17627
ENSG00000270488	0
ENSG00000207145	0
ENSG00000222609	0
ENSG00000015413	29.6449
ENSG00000242483	1.111
ENSG00000238845	0
ENSG00000261218	0.25082
ENSG00000231879	0
ENSG00000280976	7.1556
ENSG00000168404	5.9266
ENSG00000119457	0.10098
ENSG00000157514	22.2658
ENSG00000252971	0
ENSG00000259008	0.012349
ENSG00000183258	46.4886
ENSG00000261192	0.083331
ENSG00000243701	0.2184
ENSG00000108733	10.5039
ENSG00000262410	3.0014
ENSG00000143297	1.4433
ENSG00000046647	21.025
ENSG00000201371	2.0956
ENSG00000241318	0
ENSG00000196391	1.6917
ENSG00000271680	0
ENSG00000176659	0.020831
ENSG00000274835	0.5508
ENSG00000180773	23.3777
ENSG00000225738	0
ENSG00000250588	1.049
ENSG00000255051	0.34903
ENSG00000137343	44.1597
ENSG00000165935	1.4206
ENSG00000279418	0.4006
ENSG00000260027	0.36299
ENSG00000200206	0
ENSG00000221418	0
ENSG00000197958	2095.4251
ENSG00000242510	0.34507
ENSG00000020181	0.27576
ENSG00000254935	0
ENSG00000231906	0
ENSG00000239471	0
ENSG00000226930	0
ENSG00000242993	0.3002
ENSG00000232022	1.5621
ENSG00000135547	0.14532
ENSG00000199715	0
ENSG00000189227	5.5195
ENSG00000237088	0.10057
ENSG00000235151	0.47548
ENSG00000279392	0.24686
ENSG00000259518	0.24936
ENSG00000126251	0.024359
ENSG00000250615	15.5075
ENSG00000224547	0
ENSG00000273644	0
ENSG00000171060	0.18866
ENSG00000166897	0.21466
ENSG00000241828	0.78061
ENSG00000203335	0.084408
ENSG00000187773	0.63244
ENSG00000201881	0
ENSG00000077327	0.06906
ENSG00000278227	10.2867
ENSG00000169327	0.047923
ENSG00000222044	0.44288
ENSG00000243256	0
ENSG00000271141	4.9915
ENSG00000229010	0.079207
ENSG00000262920	2.0148
ENSG00000238280	0.98973
ENSG00000281749	0
ENSG00000232532	0
ENSG00000260537	14.8912
ENSG00000276773	0
ENSG00000250049	1.2618
ENSG00000253744	0.25653
ENSG00000074410	2.342
ENSG00000227676	2.3951
ENSG00000165370	0
ENSG00000118307	0.37833
ENSG00000202144	7.0058
ENSG00000230149	9.5986
ENSG00000225173	0.3898
ENSG00000237115	1.2805
ENSG00000116273	13.568
ENSG00000186687	14.1875
ENSG00000131737	0.088119
ENSG00000235661	0
ENSG00000240637	0
ENSG00000130244	6.7269
ENSG00000180834	2.7404
ENSG00000265094	1.2248
ENSG00000266312	0
ENSG00000233278	0
ENSG00000282375	0
ENSG00000231341	0
ENSG00000275582	2.6897
ENSG00000254370	0.50074
ENSG00000050438	0.60073
ENSG00000066056	2.0994
ENSG00000276800	0.000105
ENSG00000264978	1.5127
ENSG00000199150	5.0542
ENSG00000273199	0.35962
ENSG00000250050	0
ENSG00000108798	0
ENSG00000170890	2.2155
ENSG00000107036	19.0884
ENSG00000274417	0
ENSG00000248349	0
ENSG00000243766	0
ENSG00000225200	0.41555
ENSG00000235808	0.82729
ENSG00000258837	0.17609
ENSG00000223866	0
ENSG00000272963	0.45011
ENSG00000218890	0.038007
ENSG00000267058	3.2839
ENSG00000068097	20.215
ENSG00000145439	17.6485
ENSG00000265121	0.42004
ENSG00000239053	0
ENSG00000232087	0
ENSG00000254517	0
ENSG00000207237	2.3629
ENSGR0000197976	14.5441
ENSG00000221363	0
ENSG00000242575	0.095961
ENSG00000249541	0.050843
ENSG00000205300	0.89508
ENSG00000171119	3.439
ENSG00000147434	0.17091
ENSG00000280019	0
ENSG00000169894	0.44566
ENSG00000062716	259.8829
ENSG00000273226	3.4238
ENSG00000252014	0
ENSG00000261284	0.041141
ENSG00000231851	3.0357
ENSG00000180389	0
ENSG00000226995	0.50087
ENSG00000004142	93.4043
ENSG00000114378	87.6826
ENSG00000136158	13.0767
ENSG00000236434	1.4318
ENSG00000250560	0
ENSG00000166143	2.3272
ENSG00000213888	1.9257
ENSG00000211951	0
ENSG00000232114	0
ENSG00000122783	389.0091
ENSG00000255143	0.84049
ENSG00000270607	1.0343
ENSG00000265631	3.6338
ENSG00000242602	0.49275
ENSG00000246922	2.1967
ENSG00000228959	0.22387
ENSG00000119314	80.7016
ENSG00000203724	6.8432
ENSG00000232597	0
ENSG00000240219	0.18601
ENSG00000235243	0
ENSG00000279484	0.15432
ENSG00000258272	0.3216
ENSG00000214031	0.9629
ENSG00000273736	0.31655
ENSG00000204592	59.3269
ENSG00000105131	0.23484
ENSG00000261794	0.4542
