"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"Dolpp1"	274.8958	216.9666	258.256800248451	231.3073	247.626	170.3704	231.2816	138.7496	223.877894	180.9287	185.4645	208.55241	219.1173	179.3634	199.9559
"Donson"	80.3682062	59.024871	46.69046	55.12103	48.5297523376	16.49909	43.94322	45.0771414100879	36.72010452	19.745	49.066762450788	35.76054	42.75894	33.5484400684689	63.00252
"Dop1a"	415.125	399.80813	274.56606	240.2755	380.752585	281.5710531	75.77643	207.008300415114	238.42363	232.3003	208.17834	274.30909	315.5534	218.74436	45.20734
"Dop1b"	888.87897	697.33259	571.413666123	430.63307	755.7652	496.77732	72.88093	486.06525	689.054260270381	330.79	358.70775	791.86948	722.66434	564.3223891	93.09599
"Dot1l"	812.0068	693.3938	687.5089	524.8125	585.1068	545.653	284.3916	398.8395	423.7247	319.0887	549.2583	463.8398	665.0287	566.995	359.8345
"Doxl1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doxl2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dpagt1"	483.759	453.272	353.646	364.173	420.933	297.305	343.506	341.716	350.445	331.539	284.815	397.509	369.174	348.793	271.08
"Dpep1"	22.25455	35.99998	24	15.00002	55.00003	22.99997	38	21.99999	9	23	22.999981	19.99995	42.99997	10.0095	22
"Dpep2"	0	3.63768	1.17367	0.932261	1.78279	1.61967	3.88875	3.72032	1.29987	2	1	2.5602	3.72041	0	4.71539
"Dpep2nb"	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
"Dpep3"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Dpf1"	0	2.19249	1.02497	1	2	1.00867	7	1	0	1	2	1.01037	0	0	3
"Dpf2"	352.2246	271.9348	230.8803	263.1447	213.2118	145.3691	220.6062	174.7648	180.9644	164.6596	236.27997	219.2485	260.3959	255.9527	192.3882
"Dpf3"	22.0000000339526	31	23.000001	18	23.99996	22.00001	11	13	22	15	11.000004	8.000000022981	37.99999	27.99997	11
"Dph1"	308.8077	315.43205	313.3094	241.897	297.2866	240.4027	230.177	268.11897	274.314	189.907	200.862556	255.533	278.02799	197.12289	228.736
"Dph2"	23.0674	12.8436	32.0734	23.9451	0	24.4942	3.87525e-05	30.4229	0	2.15846	0.0332814	6.2023	0	24.0899	26.2765
"Dph3"	175.6828	256.9372	122.8281	155.8684	136.9057	147.4729	191.6033	127.5175	132.54228	88.1874	132.1833	152.7806	186.59172	140.54807	174.0441
"Dph5"	139.2185	142.66157	140.45713	105.34669	146.97715	104.6073401	195.60987	105.58689	98.59989	85.32952	77.85501	121.62215	125.31346	95.84282	161.20988
"Dph6"	86.9048	93.4151	72.27439	60.41516	95.93971	54.4115	59.82908	48.449623622	72.4846	52.4457	49.77387	55.3525	87.5652	48.3592	38.07901
"Dph7"	24.6064	39.3527	37.4565	44.4756	14.7766	30.9729	63.089	44.2256	52.758	40.5023	27.9146	38.6143	31.8651	42.9796	15.4141
"Dpm1"	271.847	305.6782	172.1205	111.7593	65.30121	183.1718	432.512	248.7824	138.9868	110.4769	181.0709	172.4909	310.7886	205.4295	354.6385
"Dpm2"	189.0083	201.8594	169.4957	184.1489	174.5937	132.93704	279.0375	120.20711	130.3337	132.00543	141.6534	149.3006	173.2412	124.3111	208.3356
"Dpm3"	200.57017	233.72187	179.33023	146.4541	182.14399	168.85101	434.19015	156.96894	161.47406	189	144.96418	164.21432	226.763	147.98671	361.67767
"Dpp10"	18.9457	17.7687	19.3686	10.701	4.31239	8.24146	7.35554	9.48608	10.7961	4.03836	9.81383	6.96006	17.5172	16.4282	1.44288
"Dpp3"	886.0105	870.20654	725.80262	831.8608	829.38041	667.98481	1120.91	710.23862	684.11865	585.60365	616.53596	746.675611797	684.258100013896	692.7536	742.715
"Dpp4"	3204.39	3363.81	2430.66	2303.02	2600.97	2162.07	1954.12	2389.95	2285.08	1773.99	1924.85	2290.86	3047	2125.16	1641.08
"Dpp6"	1.07453	2.00007	1	0	0	0	1	2.12159	0	1.00004	0	0	1.00699	1.01443	0
"Dpp7"	185.054	242.822	161.063	166.065	173.438	125.935	233.872	273.513	175.348	110.115	116.728	264.433	209.346	136.399	201.546
"Dpp8"	1427.6318	1335.66	1194.5084	1012.3163	1171.231	1050.0967	406.90283	1030.2458	972.2078	619.872	843.8113	1118.533	1378.8405	906.8848	487.624
"Dpp9"	667.493	621.218	466.933	697.482	591.804	448.16	308.861	455.395	511.562	297.499	521.609	566.122	486.471	481.36	327.968
"Dppa1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dppa2"	7.03173	2.00772	1.00677	3.00525	0.261644	1.00255	2.01596	1.47455	4.00853	1	0	2.00294	1.00146	1.00661	0
"Dppa3"	0	2	0	1	0	2	4	1	1	2	1	0	1	0	0
"Dppa4"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Dppa5a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dpt"	85	132	137	58	202	78	145	82	92	58	56	102	120	54	85
"Dpy19l1"	1214.34200050945	1504.9445	891.6743	826.0188	726.494000039126	850.9912	568.505	958.1671	743.82800199922	476.8398	928.431	1231.901	1040.94	971.1750814998	736.0235
