"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"Cpm"	0.696358	1.02835	0.819789	0.481005	0.86479	0.929881	0.665605	0.55279	0.614786	0.71465	1.93586	0.720132	0.563197	1.34372	0.495663
"Cpn1"	198.099	172.57	167.141	229.769	175.058	193.074	181.043	186.405	221.144	187.501	170.238	228.84	177.32	193.232	174.654
"Cpn2"	73.4828	70.245	68.0022	77.1661	69.391	78.7684	43.4148	73.4855	72.0345	69.7953	68.4245	84.0406	59.0039	67.5557	38.3023
"Cpne1"	13.30560807286	8.33647816587	14.91077089401	7.7330225	10.83855	10.13029327936	4.848175	8.377557	12.624714	9.846493	7.81888	12.15379	9.7365786846	8.296645	4.4594800256654
"Cpne2"	6.66285	5.23055	7.72957	8.18332	7.06062	4.13772	2.899579	3.84144	7.78956	6.25283	7.82363	5.01467	5.0011	5.57113	3.830175
"Cpne3"	13.2642	12.3649	14.2842	14.4418	13.2096	12.7568	4.85813	12.0226	14.0837	12.0136	13.0004	12.9935	13.4921	12.4535	5.23982
"Cpne4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cpne5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cpne6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cpne7"	0.0257465	0.0751455	0.0341622	0	0.0660163	0.0370926	0.0970701	0.0733666	0	0	0.0412812	0.0698787	0.030087	0.0777515	0.0890418
"Cpne8"	1.142462	1.739898	2.26766	2.825759	3.93748	1.381796	2.112434	1.417734	1.08475	1.875711	2.318246	1.25483	2.361203	0	0
"Cpne9"	0	0.0501893	0.21968	0	0	0	0.102496	0.0528582	0.0435674	0.152631	0.0724252	0	0.00279125	0	0
"Cpox"	67.0007	60.5336	76.6401	78.0985	89.184	83.177	26.8366	89.8169	72.0158	66.3672	65.6161	90.5678	89.4241	68.7091	43.4033
"Cpped1"	40.56854	38.53256	43.298296	42.32827	37.150794	44.259731	24.43939012	43.488022	42.40133	46.023106	35.51426	43.32956	39.376056000879	41.077329	25.596572
"Cpq"	44.33342	45.19883	47.81421	43.635640071343	44.646615	36.92938	35.35262	45.44133	45.68923	40.36329678971	38.1497100507382	49.22537	44.796970322613	38.857409	39.926069
"Cps1"	882.308	1300.79	887.4	828.038	929.951	926.951	504.94	613.227	681.495	1112.41	1429.15	652.811	693.615	1395.34	460.404
"Cpsf1"	11.807428	9.46295	14.41575	13.9126705	11.042	11.64245189	12.2931654464	10.313952	14.10121	12.892432	11.21767	8.3053604	13.32383	11.153552293	19.07929
"Cpsf2"	4.67374	4.5043	5.36851	5.65461	5.47393	4.72833	2.64739	4.87181	4.95243	4.55069	5.0657	4.27237	4.6181	4.59961	3.64117
"Cpsf3"	16.590852	16.136378	19.357416	20.777648	20.8853537059687	16.902007	18.690248	16.684420975406	22.980479	20.950468	20.937022	14.912681	17.000919	18.478332	13.7827350201979
"Cpsf4"	14.91135	14.428157	16.17156	14.2135079	15.872371	12.53501	18.62056	10.9685772184	15.72401	16.2500187	14.36973	12.25573	12.03204	14.4232700331254	16.29038057
"Cpsf4l"	9.946242	10.246811	15.71999	5.742662	10.83304	14.758811	16.11895	11.9529310552969	9.6101	13.2042	8.2780780283421	11.09805	12.2007714013	9.50961	11.596287
"Cpsf6"	12.739007	10.735044	13.00939049	13.899131	15.4369	12.139538	4.229192	9.268215	13.04939	9.90469	13.33156	8.592781	12.538186	13.687447	6.561769
