"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Cyp4b1"	3.918588	5.99369	4.51269	4.92494	3.44769	3.38005	4.31392	9.2191	4.06094	3.7365	2.31744	3.94763	7.104189	4.917757
"Cyp4f13"	1.743862	3.543869	4.485829	3.0818	2.11316	3.05326	2.63727	4.865291	3.120333	6.205475	2.2536499	3.54344	4.247926	3.869419
"Cyp4f14"	0.2555415	0.371954	0.530646	0.482802	0.1985654	0.422693615	0.806993	0.290063	0.147952	0.547046	0.436373	0.334079	0.4783703	0.195284
"Cyp4f15"	0.282647	0.29572	0.312874	0.612206	0.362593	0.196756	0.331074	0.115132	0.107394	0.212606	0.140778	0.22253	0.372034	0.178062
"Cyp4f16"	0.351237	0.475134	0.314488	1.28949	0.725819	0.1090926	0.184083	0.83798	0.770841	0.752911	0.252909727	0.1112078235	0.711051	0.633867626
"Cyp4f17"	1.192325	1.829182	1.802507	1.88028	1.282195	1.451072	1.620692	2.504146	0.678993	1.827333	1.413731	1.531907	2.259014	1.420508
"Cyp4f18"	0.478967	0.209864	0.0434656	1.181083	0.5210482	0.3556461	0.16214	0.627644	1.2653	0.121103	1.060266	0.279953	0.483072	0.0436388
"Cyp4f37"	0	0.0180405	0	0	0.0309979	0	0	0	0	0.122293	0	0	0	0
"Cyp4f39"	0.408078	2.1299357	3.52839	0.202712	6.3810702	2.160576	2.14478	4.24616	1.32517	1.002387	0.443221	0.4203634	0.848212472677	4.870620242036
"Cyp4f40"	0	0	0	0	0	0.0449059	0.0490252	0	0	0	0	0.0507883	0	0
"Cyp4v3"	0.950296	1.31652	1.29514	1.92351	1.31901	1.07392	0.816506	2.41118	1.12309	1.40167	1.04031	1.19378	1.81984	0.914639
"Cyp4x1"	0.117583	0.0514055	0.140238	0.16529	0.0532448	0.0746075	0.104113	0.101249	0.0772835	0.0952037	0.210061	0.095686	0.0417472	0.0320928
"Cyp51"	1.07764	1.76758	1.54441	1.70714	1.78619	1.53349	1.55779	2.32512	1.76068	2.50663	1.42233	1.08717	1.76823	1.75875
"Cyp7a1"	0.32211	0.242397	0.436444	0.270334	0.164898	0.132176	0.166982	0.14732	0.154596	0.161667	0.180136	0.106779	0.239125	0.149801
"Cyp7b1"	0.442889	0.202964	0.433103	0.325952	0.185308	0.265616	0.289981	0.703114	0.379707	0.371292	0.542993	0.386242	0.280313	0.267587
"Cyp8b1"	0.573353	0.387121	0.822337	0.853315	0.498982	0.425731	0.511263	0.290636	0.464747	0.729008	0.456914	0.4815	0.539145	0.562918
"Cypt1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cypt12"	0	0	0	0	0	0	0	0	0	0	0.242346	0	0	0
"Cypt14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cypt15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cypt2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cypt3"	0.1390020197	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cypt4"	0	0	0	0	0	0.167549	0	0	0	0	0	0	0	0
"Cyren"	1.3785337	1.5775016	2.447426	2.707186	1.6621655	1.690887	2.454511	2.279415	1.62872	2.050707	1.966737	2.1963614	1.8304044	1.400213
"Cys1"	3.778286	3.574226	4.047118	4.225454	1.952298	3.6624900161358	2.575861	4.23571253	8.880806	3.237338	4.041915	4.417533	3.968524	2.370193
"Cysltr1"	0.4615493	0.32079759	0.601801	0.35572	0.585784	0.456954	0.29902	0.501347	0.304472	0.341236	0.613026	0.581411	0.5425151	0.202885
"Cysltr2"	0.0865098	0.0368636701292	0	0.045982668579	0	0	0	0.07301976533	0.219134	0	0.114902	0	0.072732	0
"Cysrt1"	0	0	0.0953863	0	0	0	0.2494338	0.222821	0	1.46169	0	0	0	0.287299
"Cystm1"	195.239171	207.1006468	195.496329	211.222125	195.875809	174.24961	208.439453	235.5489	220.614339	196.699911	202.610076	231.112852	218.2444	234.562616
"Cyth1"	15.72810234085	23.204661	20.7676888	14.539253	17.283815075	23.8365955	14.6254500015401	15.764651	15.767516	14.022786158	20.40855382	16.423677	15.6530248639	14.445146076
"Cyth2"	10.48698786	13.0645771	11.0244738475	13.237937	10.566762	14.0938230108997	8.219325	10.88585	12.498433	13.650358	9.614485	13.466326	15.2674535719248	11.9058224
