"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Tfr2"	15.5536	49.0000400704044	33.2442	45.59449059126	25.324420503722	20.44250192728	24.7074	13.71547	27.95124588725	11.21721	14	16.42083	31.8130168869	16.39720132332
"Tfrc"	1729.12434	3797.21862	2276.3193	311.071	1756.1816	1920.8274	2009.3316	1270.8522	499.032	920.06806	3343.7294	2066.3481	1963.7285	2315.83931
"Tg"	0	0	2.85211	5.13349	2.0703	6	0	7	3.98996	3	2.000004	0	1	0
"Tgds"	91.8826	171.844	119	96	70.29647	105.139	86.6678	128.77332	103	103.7049	72.5524	92.7138	62.8166	67.6974
"Tgfa"	10	18	17	13	7	22	7	43	8	11.000012	7.999998	17	7	7.08143
"Tgfb1"	35.6429	121.186	59.4048	104.895	73.6619	38.9458	32.4773	64	166.474	32.0786	47.5238	38.019	68.8777	57.0286
"Tgfb1i1"	85	181.27312	114.14241	115.00003	53.17728	100.2656856	94.09616	148.4617	143.88337	80.2071	89.99996	67.63103	87.04421	94.2754
"Tgfb2"	425.248	394.5413	294.614	380.0138	327.4559	394.1927	246.651206	321.287	227.7437	457.7984	282.5032	283.1912	336.0115	280.0786
"Tgfb3"	352	772	514	696	550	515	339	499	522	288	374	381	456	404
"Tgfbi"	418.155	1310.26	460.17	610.128	722.29	436.021	254.502	1029.91	813.075	371.626	330.338	378.758	820.222	394.955
"Tgfbr1"	659.9999	1035.0001	620.04396	357.99957	490.0003	546.99988	498.83485	672.99965	389.00024	505.0001	467.0004	623.000380016037	546.00006	717.00007
"Tgfbr2"	623.598	1250.029	835.373	532.0063	685.627	622.654	508.801	929.776	709.543	525.294	588.146	464.609	618.011	598.268
"Tgfbr3"	519	1090	584.9999	381.5	493	587	421	848.0005	407	402.00034	454.00034	613.00034	605	482.9995
